"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.3102,0.3102,1,1.04,1.04,0.5,0.25
0.32469,0.32469,1,1.044,1.044,0.5,0.25
0.33919,0.33919,1,1.048,1.048,0.5,0.25
0.35326,0.35326,1,1.052,1.052,0.5,0.25
0.37282,0.37282,1,1.056,1.056,0.5,0.25
0.39237,0.39237,1,1.06,1.06,0.5,0.25
0.41193,0.41193,1,1.064,1.064,0.5,0.25
0.43148,0.43148,1,1.068,1.068,0.5,0.25
0.45104,0.45104,1,1.072,1.072,0.5,0.25
0.4706,0.4706,1,1.076,1.076,0.5,0.25
0.49016,0.49016,1,1.08,1.08,0.5,0.25
0.4712,0.4712,1,1.084,1.084,0.5,0.25
0.51021,0.51021,1,1.088,1.088,0.5,0.25
0.54922,0.54922,1,1.092,1.092,0.5,0.25
0.58824,0.58824,1,1.096,1.096,0.5,0.25
0.62725,0.62725,1,1.1,1.1,0.5,0.25
0.66626,0.66626,1,1.104,1.104,0.5,0.25
0.70526,0.70526,1,1.108,1.108,0.5,0.25
0.74427,0.74427,1,1.112,1.112,0.5,0.25
0.78328,0.78328,1,1.116,1.116,0.5,0.25
0.82228,0.82228,1,1.12,1.12,0.5,0.25
0.86128,0.86128,1,1.124,1.124,0.5,0.25
0.90029,0.90029,1,1.128,1.128,0.5,0.25
0.93929,0.93929,1,1.132,1.132,0.5,0.25
0.9783,0.9783,1,1.136,1.136,0.5,0.25
1.0173,1.0173,1,1.14,1.14,0.5,0.25
1.0328,1.0328,1,1.144,1.144,0.5,0.25
1.0889,1.0889,1,1.148,1.148,0.5,0.25
1.1449,1.1449,1,1.152,1.152,0.5,0.25
1.201,1.201,1,1.156,1.156,0.5,0.25
1.2571,1.2571,1,1.16,1.16,0.5,0.25
1.3131,1.3131,1,1.164,1.164,0.5,0.25
1.3692,1.3692,1,1.168,1.168,0.5,0.25
1.4253,1.4253,1,1.172,1.172,0.5,0.25
1.4814,1.4814,1,1.176,1.176,0.5,0.25
1.5374,1.5374,1,1.18,1.18,0.5,0.25
1.5935,1.5935,1,1.184,1.184,0.5,0.25
1.6496,1.6496,1,1.188,1.188,0.5,0.25
1.7201,1.7201,1,1.192,1.192,0.5,0.25
1.7823,1.7823,1,1.196,1.196,0.5,0.25
1.8444,1.8444,1,1.2,1.2,0.5,0.25
1.9066,1.9066,1,1.204,1.204,0.5,0.25
1.9688,1.9688,1,1.208,1.208,0.5,0.25
2.0309,2.0309,1,1.212,1.212,0.5,0.25
2.0931,2.0931,1,1.216,1.216,0.5,0.25
2.1552,2.1552,1,1.22,1.22,0.5,0.25
2.2174,2.2174,1,1.224,1.224,0.5,0.25
2.2796,2.2796,1,1.228,1.228,0.5,0.25
2.3417,2.3417,1,1.232,1.232,0.5,0.25
2.4039,2.4039,1,1.236,1.236,0.5,0.25
2.5464,2.5464,1,1.24,1.24,0.5,0.25
2.5917,2.5917,1,1.244,1.244,0.5,0.25
2.6369,2.6369,1,1.248,1.248,0.5,0.25
2.6822,2.6822,1,1.252,1.252,0.5,0.25
2.7275,2.7275,1,1.256,1.256,0.5,0.25
