"Density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.017572,1,2.44,2.44,0.5,0.25
0.017612,1,2.445,2.445,0.5,0.25
0.017633,1,2.45,2.45,0.5,0.25
0.017637,1,2.455,2.455,0.5,0.25
0.017622,1,2.46,2.46,0.5,0.25
0.01759,1,2.465,2.465,0.5,0.25
0.01754,1,2.47,2.47,0.5,0.25
0.017471,1,2.475,2.475,0.5,0.25
0.017385,1,2.48,2.48,0.5,0.25
0.017281,1,2.485,2.485,0.5,0.25
0.017158,1,2.49,2.49,0.5,0.25
0.017018,1,2.495,2.495,0.5,0.25
0.01686,1,2.5,2.5,0.5,0.25
0.016683,1,2.505,2.505,0.5,0.25
0.015068,1,2.51,2.51,0.5,0.25
0.015136,1,2.515,2.515,0.5,0.25
0.015196,1,2.52,2.52,0.5,0.25
0.015247,1,2.525,2.525,0.5,0.25
0.01529,1,2.53,2.53,0.5,0.25
0.015324,1,2.535,2.535,0.5,0.25
0.01535,1,2.54,2.54,0.5,0.25
0.015368,1,2.545,2.545,0.5,0.25
0.015377,1,2.55,2.55,0.5,0.25
0.015377,1,2.555,2.555,0.5,0.25
0.01537,1,2.56,2.56,0.5,0.25
0.015354,1,2.565,2.565,0.5,0.25
0.015329,1,2.57,2.57,0.5,0.25
0.015296,1,2.575,2.575,0.5,0.25
0.015255,1,2.58,2.58,0.5,0.25
0.015205,1,2.585,2.585,0.5,0.25
0.015147,1,2.59,2.59,0.5,0.25
0.01508,1,2.595,2.595,0.5,0.25
0.015005,1,2.6,2.6,0.5,0.25
0.014922,1,2.605,2.605,0.5,0.25
0.01483,1,2.61,2.61,0.5,0.25
0.01473,1,2.615,2.615,0.5,0.25
0.014621,1,2.62,2.62,0.5,0.25
0.014504,1,2.625,2.625,0.5,0.25
0.014079,1,2.63,2.63,0.5,0.25
0.014109,1,2.635,2.635,0.5,0.25
0.014135,1,2.64,2.64,0.5,0.25
0.014159,1,2.645,2.645,0.5,0.25
0.014178,1,2.65,2.65,0.5,0.25
