"Density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0097412,1,2.845,2.845,0.5,0.25
0.0097788,1,2.85,2.85,0.5,0.25
0.0098163,1,2.855,2.855,0.5,0.25
0.0098539,1,2.86,2.86,0.5,0.25
0.0098914,1,2.865,2.865,0.5,0.25
0.0099049,1,2.87,2.87,0.5,0.25
0.00997,1,2.875,2.875,0.5,0.25
0.0099388,1,2.88,2.88,0.5,0.25
0.0099981,1,2.885,2.885,0.5,0.25
0.010192,1,2.89,2.89,0.5,0.25
0.010278,1,2.895,2.895,0.5,0.25
0.010365,1,2.9,2.9,0.5,0.25
0.010452,1,2.905,2.905,0.5,0.25
0.010538,1,2.91,2.91,0.5,0.25
0.010625,1,2.915,2.915,0.5,0.25
0.010712,1,2.92,2.92,0.5,0.25
0.010798,1,2.925,2.925,0.5,0.25
0.010885,1,2.93,2.93,0.5,0.25
0.010971,1,2.935,2.935,0.5,0.25
0.011058,1,2.94,2.94,0.5,0.25
0.011145,1,2.945,2.945,0.5,0.25
0.011231,1,2.95,2.95,0.5,0.25
0.011318,1,2.955,2.955,0.5,0.25
0.011405,1,2.96,2.96,0.5,0.25
0.011491,1,2.965,2.965,0.5,0.25
0.011578,1,2.97,2.97,0.5,0.25
0.011665,1,2.975,2.975,0.5,0.25
0.011749,1,2.98,2.98,0.5,0.25
