"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.52,1,0.0624,1.9624,0.5,0.25
-7.5807,1,0.0626,1.9626,0.5,0.25
-7.6408,1,0.0628,1.9628,0.5,0.25
-7.7004,1,0.063,1.963,0.5,0.25
-7.7592,1,0.0632,1.9632,0.5,0.25
-7.8176,1,0.0634,1.9634,0.5,0.25
-7.8753,1,0.0636,1.9636,0.5,0.25
-7.9324,1,0.0638,1.9638,0.5,0.25
-7.9889,1,0.064,1.964,0.5,0.25
-8.0448,1,0.0642,1.9642,0.5,0.25
-8.1001,1,0.0644,1.9644,0.5,0.25
-8.1548,1,0.0646,1.9646,0.5,0.25
-8.2089,1,0.0648,1.9648,0.5,0.25
-8.2625,1,0.065,1.965,0.5,0.25
-8.3153,1,0.0652,1.9652,0.5,0.25
-8.3677,1,0.0654,1.9654,0.5,0.25
-8.4194,1,0.0656,1.9656,0.5,0.25
-8.4705,1,0.0658,1.9658,0.5,0.25
-8.521,1,0.066,1.966,0.5,0.25
-8.5709,1,0.0662,1.9662,0.5,0.25
-8.6202,1,0.0664,1.9664,0.5,0.25
-8.6689,1,0.0666,1.9666,0.5,0.25
-8.717,1,0.0668,1.9668,0.5,0.25
-8.7645,1,0.067,1.967,0.5,0.25
-8.8114,1,0.0672,1.9672,0.5,0.25
-8.8577,1,0.0674,1.9674,0.5,0.25
-8.9034,1,0.0676,1.9676,0.5,0.25
-8.9485,1,0.0678,1.9678,0.5,0.25
-8.993,1,0.068,1.968,0.5,0.25
-9.0369,1,0.0682,1.9682,0.5,0.25
-9.0802,1,0.0684,1.9684,0.5,0.25
-9.1229,1,0.0686,1.9686,0.5,0.25
-9.165,1,0.0688,1.9688,0.5,0.25
-9.2065,1,0.069,1.969,0.5,0.25
-9.2474,1,0.0692,1.9692,0.5,0.25
-9.2877,1,0.0694,1.9694,0.5,0.25
-9.3274,1,0.0696,1.9696,0.5,0.25
-9.3665,1,0.0698,1.9698,0.5,0.25
-9.405,1,0.07,1.97,0.5,0.25
-9.4428,1,0.0702,1.9702,0.5,0.25
-9.4801,1,0.0704,1.9704,0.5,0.25
-9.5168,1,0.0706,1.9706,0.5,0.25
-9.5529,1,0.0708,1.9708,0.5,0.25
-9.5884,1,0.071,1.971,0.5,0.25
-9.6233,1,0.0712,1.9712,0.5,0.25
-9.6576,1,0.0714,1.9714,0.5,0.25
-9.6913,1,0.0716,1.9716,0.5,0.25
-9.7244,1,0.0718,1.9718,0.5,0.25
-9.7569,1,0.072,1.972,0.5,0.25
-9.7888,1,0.0722,1.9722,0.5,0.25
-9.82,1,0.0724,1.9724,0.5,0.25
-9.8507,1,0.0726,1.9726,0.5,0.25
-9.8808,1,0.0728,1.9728,0.5,0.25
-9.9103,1,0.073,1.973,0.5,0.25
-9.9392,1,0.0732,1.9732,0.5,0.25
-9.9675,1,0.0734,1.9734,0.5,0.25
-9.9952,1,0.0736,1.9736,0.5,0.25
-10.022,1,0.0738,1.9738,0.5,0.25
-10.049,1,0.074,1.974,0.5,0.25
-10.075,1,0.0742,1.9742,0.5,0.25
-10.1,1,0.0744,1.9744,0.5,0.25
-10.125,1,0.0746,1.9746,0.5,0.25
-10.149,1,0.0748,1.9748,0.5,0.25
-10.172,1,0.075,1.975,0.5,0.25
-10.195,1,0.0752,1.9752,0.5,0.25
-10.217,1,0.0754,1.9754,0.5,0.25
-10.239,1,0.0756,1.9756,0.5,0.25
-10.26,1,0.0758,1.9758,0.5,0.25
-10.281,1,0.076,1.976,0.5,0.25
-10.3,1,0.0762,1.9762,0.5,0.25
-10.32,1,0.0764,1.9764,0.5,0.25
-10.338,1,0.0766,1.9766,0.5,0.25
-10.356,1,0.0768,1.9768,0.5,0.25
-10.374,1,0.077,1.977,0.5,0.25
-10.391,1,0.0772,1.9772,0.5,0.25
-10.407,1,0.0774,1.9774,0.5,0.25
-10.423,1,0.0776,1.9776,0.5,0.25
-10.438,1,0.0778,1.9778,0.5,0.25
-10.452,1,0.078,1.978,0.5,0.25
-10.466,1,0.0782,1.9782,0.5,0.25
-10.479,1,0.0784,1.9784,0.5,0.25
-10.492,1,0.0786,1.9786,0.5,0.25
-10.504,1,0.0788,1.9788,0.5,0.25
-10.516,1,0.079,1.979,0.5,0.25
-10.526,1,0.0792,1.9792,0.5,0.25
-10.537,1,0.0794,1.9794,0.5,0.25
-10.546,1,0.0796,1.9796,0.5,0.25
-10.555,1,0.0798,1.9798,0.5,0.25
-10.564,1,0.08,1.98,0.5,0.25
-10.572,1,0.0802,1.9802,0.5,0.25
-10.579,1,0.0804,1.9804,0.5,0.25
-10.586,1,0.0806,1.9806,0.5,0.25
-10.592,1,0.0808,1.9808,0.5,0.25
-10.597,1,0.081,1.981,0.5,0.25
-10.602,1,0.0812,1.9812,0.5,0.25
-10.606,1,0.0814,1.9814,0.5,0.25
-10.61,1,0.0816,1.9816,0.5,0.25
-10.613,1,0.0818,1.9818,0.5,0.25
-10.615,1,0.082,1.982,0.5,0.25
-10.617,1,0.0822,1.9822,0.5,0.25
-10.619,1,0.0824,1.9824,0.5,0.25
-10.619,1,0.0826,1.9826,0.5,0.25
-10.619,1,0.0828,1.9828,0.5,0.25
-10.619,1,0.083,1.983,0.5,0.25
-10.618,1,0.0832,1.9832,0.5,0.25
-10.616,1,0.0834,1.9834,0.5,0.25
-10.614,1,0.0836,1.9836,0.5,0.25
-10.611,1,0.0838,1.9838,0.5,0.25
-10.607,1,0.084,1.984,0.5,0.25
-10.603,1,0.0842,1.9842,0.5,0.25
-10.598,1,0.0844,1.9844,0.5,0.25
-10.593,1,0.0846,1.9846,0.5,0.25
-10.587,1,0.0848,1.9848,0.5,0.25
-10.58,1,0.085,1.985,0.5,0.25
-10.573,1,0.0852,1.9852,0.5,0.25
-10.565,1,0.0854,1.9854,0.5,0.25
-10.557,1,0.0856,1.9856,0.5,0.25
-10.548,1,0.0858,1.9858,0.5,0.25
-10.539,1,0.086,1.986,0.5,0.25
-10.528,1,0.0862,1.9862,0.5,0.25
-10.518,1,0.0864,1.9864,0.5,0.25
-10.506,1,0.0866,1.9866,0.5,0.25
-10.494,1,0.0868,1.9868,0.5,0.25
-10.482,1,0.087,1.987,0.5,0.25
-10.469,1,0.0872,1.9872,0.5,0.25
-10.455,1,0.0874,1.9874,0.5,0.25
-10.44,1,0.0876,1.9876,0.5,0.25
-10.425,1,0.0878,1.9878,0.5,0.25
-10.41,1,0.088,1.988,0.5,0.25
-10.394,1,0.0882,1.9882,0.5,0.25
-10.377,1,0.0884,1.9884,0.5,0.25
-10.36,1,0.0886,1.9886,0.5,0.25
-10.342,1,0.0888,1.9888,0.5,0.25
-10.323,1,0.089,1.989,0.5,0.25
-10.304,1,0.0892,1.9892,0.5,0.25
-10.284,1,0.0894,1.9894,0.5,0.25
-10.264,1,0.0896,1.9896,0.5,0.25
-10.243,1,0.0898,1.9898,0.5,0.25
-10.221,1,0.09,1.99,0.5,0.25
-10.199,1,0.0902,1.9902,0.5,0.25
-10.176,1,0.0904,1.9904,0.5,0.25
-10.153,1,0.0906,1.9906,0.5,0.25
-10.129,1,0.0908,1.9908,0.5,0.25
-10.104,1,0.091,1.991,0.5,0.25
-10.079,1,0.0912,1.9912,0.5,0.25
-10.053,1,0.0914,1.9914,0.5,0.25
-10.027,1,0.0916,1.9916,0.5,0.25
-10,1,0.0918,1.9918,0.5,0.25
-9.9726,1,0.092,1.992,0.5,0.25
-9.9444,1,0.0922,1.9922,0.5,0.25
-9.9156,1,0.0924,1.9924,0.5,0.25
-9.8863,1,0.0926,1.9926,0.5,0.25
-9.8563,1,0.0928,1.9928,0.5,0.25
-9.8257,1,0.093,1.993,0.5,0.25
-9.7945,1,0.0932,1.9932,0.5,0.25
-9.7628,1,0.0934,1.9934,0.5,0.25
-9.7304,1,0.0936,1.9936,0.5,0.25
-9.6974,1,0.0938,1.9938,0.5,0.25
-9.6638,1,0.094,1.994,0.5,0.25
-9.6296,1,0.0942,1.9942,0.5,0.25
-9.5949,1,0.0944,1.9944,0.5,0.25
-9.5595,1,0.0946,1.9946,0.5,0.25
-9.5235,1,0.0948,1.9948,0.5,0.25
-9.4869,1,0.095,1.995,0.5,0.25
-9.4497,1,0.0952,1.9952,0.5,0.25
