"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.9955,1,1.604,1.604,0.5,0.25
-9.9951,1,1.608,1.608,0.5,0.25
-9.9948,1,1.612,1.612,0.5,0.25
-9.9945,1,1.616,1.616,0.5,0.25
-9.9941,1,1.62,1.62,0.5,0.25
-9.9938,1,1.624,1.624,0.5,0.25
-9.9934,1,1.628,1.628,0.5,0.25
-9.9931,1,1.632,1.632,0.5,0.25
-9.9927,1,1.636,1.636,0.5,0.25
-9.9842,1,1.64,1.64,0.5,0.25
-9.9831,1,1.644,1.644,0.5,0.25
-9.9821,1,1.648,1.648,0.5,0.25
-9.981,1,1.652,1.652,0.5,0.25
-9.98,1,1.656,1.656,0.5,0.25
-9.9789,1,1.66,1.66,0.5,0.25
-9.9779,1,1.664,1.664,0.5,0.25
-9.9769,1,1.668,1.668,0.5,0.25
-9.9758,1,1.672,1.672,0.5,0.25
-9.9748,1,1.676,1.676,0.5,0.25
-9.9737,1,1.68,1.68,0.5,0.25
-9.9594,1,1.684,1.684,0.5,0.25
-9.9567,1,1.688,1.688,0.5,0.25
-9.954,1,1.692,1.692,0.5,0.25
-9.9513,1,1.696,1.696,0.5,0.25
-9.9486,1,1.7,1.7,0.5,0.25
-9.9459,1,1.704,1.704,0.5,0.25
-9.9432,1,1.708,1.708,0.5,0.25
-9.9405,1,1.712,1.712,0.5,0.25
-9.9378,1,1.716,1.716,0.5,0.25
-9.9351,1,1.72,1.72,0.5,0.25
-9.9324,1,1.724,1.724,0.5,0.25
-9.9078,1,1.728,1.728,0.5,0.25
-9.9004,1,1.732,1.732,0.5,0.25
-9.9157,1,1.736,1.736,0.5,0.25
-9.8917,1,1.74,1.74,0.5,0.25
-9.8676,1,1.744,1.744,0.5,0.25
-9.8435,1,1.748,1.748,0.5,0.25
-9.8194,1,1.752,1.752,0.5,0.25
-9.8442,1,1.756,1.756,0.5,0.25
-9.8032,1,1.76,1.76,0.5,0.25
-9.7622,1,1.764,1.764,0.5,0.25
-9.7212,1,1.768,1.768,0.5,0.25
-9.6802,1,1.772,1.772,0.5,0.25
nan,0,1.776,1.776,0.5,0.25
nan,0,1.78,1.78,0.5,0.25
-9.5571,1,1.784,1.784,0.5,0.25
-9.5161,1,1.788,1.788,0.5,0.25
-9.4751,1,1.792,1.792,0.5,0.25
-9.4341,1,1.796,1.796,0.5,0.25
-9.3931,1,1.8,1.8,0.5,0.25
-9.3521,1,1.804,1.804,0.5,0.25
-9.311,1,1.808,1.808,0.5,0.25
-9.27,1,1.812,1.812,0.5,0.25
-9.229,1,1.816,1.816,0.5,0.25
-9.188,1,1.82,1.82,0.5,0.25
-9.147,1,1.824,1.824,0.5,0.25
-9.106,1,1.828,1.828,0.5,0.25
-9.065,1,1.832,1.832,0.5,0.25
-9.024,1,1.836,1.836,0.5,0.25
-8.983,1,1.84,1.84,0.5,0.25
-8.942,1,1.844,1.844,0.5,0.25
-8.5363,1,1.848,1.848,0.5,0.25
-8.425,1,1.852,1.852,0.5,0.25
-8.3137,1,1.856,1.856,0.5,0.25
-8.2023,1,1.86,1.86,0.5,0.25
-8.091,1,1.864,1.864,0.5,0.25
-7.9796,1,1.868,1.868,0.5,0.25
-7.8683,1,1.872,1.872,0.5,0.25
-7.7569,1,1.876,1.876,0.5,0.25
-7.6456,1,1.88,1.88,0.5,0.25
-7.5343,1,1.884,1.884,0.5,0.25
-7.4229,1,1.888,1.888,0.5,0.25
-7.3116,1,1.892,1.892,0.5,0.25
-7.2002,1,1.896,1.896,0.5,0.25
-7.0889,1,1.9,1.9,0.5,0.25
-6.4426,1,1.904,1.904,0.5,0.25
-6.2036,1,1.908,1.908,0.5,0.25
-5.9646,1,1.912,1.912,0.5,0.25
-5.7256,1,1.916,1.916,0.5,0.25
-5.4866,1,1.92,1.92,0.5,0.25
-5.2476,1,1.924,1.924,0.5,0.25
-5.0086,1,1.928,1.928,0.5,0.25
-4.7696,1,1.932,1.932,0.5,0.25
-4.5306,1,1.936,1.936,0.5,0.25
-4.2916,1,1.94,1.94,0.5,0.25
-3.7913,1,1.944,1.944,0.5,0.25
-3.4954,1,1.948,1.948,0.5,0.25
-3.1996,1,1.952,1.952,0.5,0.25
-2.9037,1,1.956,1.956,0.5,0.25
-2.6077,1,1.96,1.96,0.5,0.25
-2.3119,1,1.964,1.964,0.5,0.25
-2.016,1,1.968,1.968,0.5,0.25
-1.7201,1,1.972,1.972,0.5,0.25
-1.4243,1,1.976,1.976,0.5,0.25
-1.1284,1,1.98,1.98,0.5,0.25
-0.83252,1,1.984,1.984,0.5,0.25
-0.53665,1,1.988,1.988,0.5,0.25
-0.24078,1,1.992,1.992,0.5,0.25
0.055095,1,1.996,1.996,0.5,0.25
0.35099,1,2,2,0.5,0.25
0.64686,1,2.004,2.004,0.5,0.25
0.94274,1,2.008,2.008,0.5,0.25
1.2386,1,2.012,2.012,0.5,0.25
1.5345,1,2.016,2.016,0.5,0.25
1.8304,1,2.02,2.02,0.5,0.25
2.2429,1,2.024,2.024,0.5,0.25
2.5446,1,2.028,2.028,0.5,0.25
2.8464,1,2.032,2.032,0.5,0.25
3.1481,1,2.036,2.036,0.5,0.25
3.4498,1,2.04,2.04,0.5,0.25
3.7515,1,2.044,2.044,0.5,0.25
4.0136,1,2.048,2.048,0.5,0.25
4.2464,1,2.052,2.052,0.5,0.25
4.4792,1,2.056,2.056,0.5,0.25
4.712,1,2.06,2.06,0.5,0.25
4.9448,1,2.064,2.064,0.5,0.25
5.1776,1,2.068,2.068,0.5,0.25
5.52,1,2.072,2.072,0.5,0.25
5.6889,1,2.076,2.076,0.5,0.25
5.8579,1,2.08,2.08,0.5,0.25
6.0268,1,2.084,2.084,0.5,0.25
6.1957,1,2.088,2.088,0.5,0.25
6.3647,1,2.092,2.092,0.5,0.25
6.5336,1,2.096,2.096,0.5,0.25
6.7025,1,2.1,2.1,0.5,0.25
6.8715,1,2.104,2.104,0.5,0.25
7.0404,1,2.108,2.108,0.5,0.25
7.2093,1,2.112,2.112,0.5,0.25
7.3782,1,2.116,2.116,0.5,0.25
7.5471,1,2.12,2.12,0.5,0.25
7.7161,1,2.124,2.124,0.5,0.25
7.885,1,2.128,2.128,0.5,0.25
8.0539,1,2.132,2.132,0.5,0.25
8.2228,1,2.136,2.136,0.5,0.25
8.3918,1,2.14,2.14,0.5,0.25
8.5607,1,2.144,2.144,0.5,0.25
8.7296,1,2.148,2.148,0.5,0.25
8.8986,1,2.152,2.152,0.5,0.25
8.6012,1,2.156,2.156,0.5,0.25
8.6886,1,2.16,2.16,0.5,0.25
8.7761,1,2.164,2.164,0.5,0.25
8.8635,1,2.168,2.168,0.5,0.25
8.9509,1,2.172,2.172,0.5,0.25
9.0383,1,2.176,2.176,0.5,0.25
9.1257,1,2.18,2.18,0.5,0.25
9.2131,1,2.184,2.184,0.5,0.25
9.3005,1,2.188,2.188,0.5,0.25
9.3879,1,2.192,2.192,0.5,0.25
9.3369,1,2.196,2.196,0.5,0.25
9.3691,1,2.2,2.2,0.5,0.25
9.4012,1,2.204,2.204,0.5,0.25
9.4334,1,2.208,2.208,0.5,0.25
9.4655,1,2.212,2.212,0.5,0.25
9.4976,1,2.216,2.216,0.5,0.25
9.5298,1,2.22,2.22,0.5,0.25
9.5619,1,2.224,2.224,0.5,0.25
9.5941,1,2.228,2.228,0.5,0.25
9.6262,1,2.232,2.232,0.5,0.25
9.6583,1,2.236,2.236,0.5,0.25
9.6905,1,2.24,2.24,0.5,0.25
9.7226,1,2.244,2.244,0.5,0.25
9.7547,1,2.248,2.248,0.5,0.25
9.7869,1,2.252,2.252,0.5,0.25
9.819,1,2.256,2.256,0.5,0.25
9.8512,1,2.26,2.26,0.5,0.25
9.7857,1,2.264,2.264,0.5,0.25
